Pred_common,Prey_Name_Clean,Len_bin,NStomachs,Percent_Occur,Percent_Weight
Arrowtooth flounder,Gadus chalcogrammus,"(60,80]",267,43.77,79.73
Arrowtooth flounder,Gadus chalcogrammus,"(80,280]",4,57.14,76.62
Pacific cod,Gadus chalcogrammus,"(80,280]",91,48.4,61.07
Pacific halibut,Gadus chalcogrammus,"(80,280]",478,42.87,55.01
Arrowtooth flounder,Gadus chalcogrammus,"(40,60]",936,19.5,52.11
Walleye pollock,Euphausiacea,"(40,60]",4913,69.99,46.1
Walleye pollock,Euphausiacea,"(20,40]",1511,62.52,45.85
Walleye pollock,Euphausiacea,"(0,20]",855,47.9,42.31
Pacific halibut,Paguridae,"(20,40]",813,68.9,41.74
Walleye pollock,Euphausiacea,"(60,80]",574,71.39,39.23
Arrowtooth flounder,Gadus chalcogrammus,"(20,40]",312,6.84,34.39
Pacific halibut,Gadus chalcogrammus,"(60,80]",463,18.11,33.76
Arrowtooth flounder,Euphausiacea,"(0,20]",479,58.99,32.58
Pacific halibut,Paguridae,"(0,20]",41,46.59,31.01
Walleye pollock,Copepoda,"(0,20]",926,51.88,30.09
Pacific cod,Gadus chalcogrammus,"(60,80]",387,12.63,29.44
Pacific halibut,Crangonidae,"(0,20]",24,27.27,27.23
Arrowtooth flounder,Osmeridae,"(0,20]",73,8.99,27.1
Arrowtooth flounder,Osmeridae,"(20,40]",564,12.37,23.24
Pacific halibut,Paguridae,"(40,60]",1260,52.04,21.36
Arrowtooth flounder,Atheresthes stomias,"(80,280]",1,14.29,20.6
Pacific halibut,Brachyura,"(0,20]",16,18.18,15.32
Pacific cod,Pandalidae,"(60,80]",1036,33.8,7.79
Pacific cod,Gammaridea,"(0,20]",179,48.12,13.09
Pacific cod,Paguridae,"(0,20]",42,11.29,12.63
Pacific cod,Pandalidae,"(40,60]",1589,29.66,12.57
Pacific cod,Osmeridae,"(0,20]",6,1.61,12.03
Walleye pollock,Pandalidae,"(60,80]",170,21.14,13.44
Pacific cod,Chionoecetes bairdi,"(40,60]",1084,20.23,11.74
Pacific cod,Crangonidae,"(20,40]",542,29.88,11.7
Pacific halibut,Majidae,"(40,60]",566,23.38,11.68
Arrowtooth flounder,Clupeoidei,"(40,60]",188,3.92,11.25
Pacific cod,Euphausiacea,"(0,20]",81,21.77,11.18
Pacific halibut,Gadus chalcogrammus,"(40,60]",151,6.24,11.14
Pacific cod,Paguridae,"(20,40]",298,16.43,10.93
Arrowtooth flounder,Teleostei unid,"(0,20]",127,15.64,10.68
Walleye pollock,Osmeridae,"(20,40]",63,2.61,10.2
Pacific cod,Chionoecetes bairdi,"(60,80]",658,21.47,9.9
Walleye pollock,Copepoda,"(20,40]",914,37.82,9.89
Arrowtooth flounder,Osmeridae,"(40,60]",604,12.58,9.78
Arrowtooth flounder,Euphausiacea,"(20,40]",1877,41.16,9.68
Arrowtooth flounder,Teleostei unid,"(20,40]",755,16.56,8.85
Arrowtooth flounder,Pandalidae,"(20,40]",639,14.01,6.49
Pacific halibut,Chionoecetes bairdi,"(60,80]",442,17.29,8.54
Pacific halibut,Majidae,"(60,80]",561,21.94,8.52
Walleye pollock,Gadus chalcogrammus,"(60,80]",27,3.36,8.47
Pacific cod,Pleurogrammus monopterygius,"(80,280]",10,5.32,8.47
Pacific cod,Polychaeta,"(20,40]",667,36.77,8.34
Pacific halibut,Ammodytidae,"(20,40]",87,7.37,8.11
Walleye pollock,Osmeridae,"(60,80]",31,3.86,7.9
Walleye pollock,Pandalidae,"(40,60]",967,13.77,11.77
Pacific cod,Euphausiacea,"(20,40]",322,17.75,7.71
Pacific halibut,Ammodytidae,"(40,60]",181,7.48,7.3
Pacific halibut,Chionoecetes bairdi,"(40,60]",372,15.37,7.21
Pacific halibut,Brachyura,"(20,40]",245,20.76,7.15
Walleye pollock,Osmeridae,"(40,60]",223,3.18,6.54
Pacific cod,Brachyura,"(0,20]",47,12.63,6.51
Arrowtooth flounder,Pandalidae,"(40,60]",507,10.56,1.78
Pacific cod,Ammodytidae,"(20,40]",71,3.91,6.45
Pacific halibut,Majidae,"(20,40]",160,13.56,6.42
Walleye pollock,Appendicularia,"(60,80]",137,17.04,6.4
Pacific halibut,Brachyura,"(40,60]",444,18.34,6.4
Pacific cod,Euphausiacea,"(40,60]",1332,24.86,6.26
Pacific cod,Gadus chalcogrammus,"(40,60]",133,2.48,6.21
Pacific cod,Crangonidae,"(0,20]",35,9.41,6.17
Pacific cod,Paguridae,"(40,60]",915,17.08,6.16
Pacific cod,Anomura,"(40,60]",481,8.98,6.11
Walleye pollock,Copepoda,"(40,60]",2099,29.9,5.93
Walleye pollock,Appendicularia,"(40,60]",836,11.91,5.9
Pacific cod,Offal,"(80,280]",10,5.32,5.79
Pacific cod,Pandalidae,"(20,40]",181,9.98,5.73
Pacific cod,Brachyura,"(20,40]",386,21.28,5.68
Arrowtooth flounder,Stichaeidae,"(0,20]",24,2.96,5.62
Pacific halibut,Teleostei unid,"(20,40]",208,17.63,5.48
Pacific halibut,Osmeridae,"(40,60]",142,5.87,5.32
Pacific cod,Crangonidae,"(40,60]",1811,33.8,5.31
Arrowtooth flounder,Gadus chalcogrammus,"(0,20]",21,2.59,5.3
Pacific cod,Copepoda,"(0,20]",40,10.75,5.25
Pacific halibut,Sebastes sp.,"(80,280]",46,4.13,5.11
Pacific halibut,Octopoda,"(80,280]",107,9.6,5.1
Pacific cod,Polychaeta,"(40,60]",2003,37.38,4.99
Pacific cod,Polychaeta,"(0,20]",78,20.97,4.96
Pacific cod,Caridea,"(0,20]",50,13.44,4.76
Pacific cod,Pandalidae,"(80,280]",14,7.45,0.47
Pacific halibut,Offal,"(80,280]",52,4.66,4.57
Pacific halibut,Paguridae,"(60,80]",581,22.72,4.55
Pacific halibut,Octopoda,"(60,80]",142,5.55,4.5
Pacific halibut,Cottidae,"(0,20]",5,5.68,4.49
Arrowtooth flounder,Euphausiacea,"(40,60]",1511,31.47,4.46
Pacific cod,Chionoecetes bairdi,"(20,40]",154,8.49,4.38
Pacific halibut,Salmonidae,"(80,280]",16,1.43,4.34
Pacific halibut,Osmeridae,"(60,80]",215,8.41,4.31
Pacific halibut,Teleostei unid,"(0,20]",16,18.18,4.24
Pacific cod,Teleostei unid,"(40,60]",1132,21.13,4.21
Arrowtooth flounder,Clupeoidei,"(20,40]",38,0.83,4.2
Pacific halibut,Teleostei unid,"(40,60]",420,17.35,4.17
Pacific cod,Pleuronectiformes,"(80,280]",17,9.04,4.13
Pacific cod,Offal,"(60,80]",59,1.92,4
Pacific cod,Gammaridea,"(20,40]",613,33.79,4
Arrowtooth flounder,Ammodytidae,"(0,20]",20,2.46,3.99
Walleye pollock,Caridea,"(20,40]",237,9.81,3.98
Pacific halibut,Crangonidae,"(20,40]",165,13.98,3.96
Pacific cod,Ammodytidae,"(60,80]",141,4.6,3.96
Pacific halibut,Osmeridae,"(20,40]",30,2.54,3.95
Pacific cod,Teleostei unid,"(20,40]",262,14.44,3.94
Pacific halibut,Brachyura,"(60,80]",357,13.96,3.94
Arrowtooth flounder,Ammodytidae,"(40,60]",156,3.25,3.87
Pacific cod,Teleostei unid,"(60,80]",705,23,3.85
Arrowtooth flounder,Teleostei unid,"(40,60]",829,17.27,3.81
Pacific halibut,Clupeoidei,"(60,80]",108,4.22,3.74
Walleye pollock,Caridea,"(40,60]",922,13.13,3.72
Walleye pollock,Osmeridae,"(0,20]",14,0.78,3.71
Pacific halibut,Offal,"(60,80]",86,3.36,3.68
Pacific halibut,Chionoecetes bairdi,"(80,280]",130,11.66,3.63
Pacific cod,Ammodytidae,"(40,60]",199,3.71,3.61
Arrowtooth flounder,Ammodytidae,"(20,40]",116,2.54,3.55
Pacific cod,Ammodytidae,"(0,20]",5,1.34,3.46
Pacific halibut,Atheresthes stomias,"(80,280]",30,2.69,3.42
Pacific halibut,Gammaridea,"(0,20]",21,23.86,3.33
Pacific cod,Cottidae,"(20,40]",109,6.01,3.32
Pacific halibut,Clupeoidei,"(40,60]",43,1.78,3.28
Pacific halibut,Majidae,"(0,20]",6,6.82,3.24
Pacific cod,Osmeridae,"(20,40]",29,1.6,3.19
Pacific cod,Osmeridae,"(40,60]",111,2.07,3.15
Pacific cod,Anomura,"(20,40]",83,4.58,3.14
Pacific halibut,Anomura,"(40,60]",106,4.38,3.11
Walleye pollock,Teleostei unid,"(40,60]",628,8.95,3.05
Walleye pollock,Teleostei unid,"(20,40]",158,6.54,3.01
Walleye pollock,Copepoda,"(60,80]",140,17.41,3.01
Pacific cod,Majidae,"(40,60]",427,7.97,3
Pacific cod,Hippolytidae,"(0,20]",17,4.57,2.98
Walleye pollock,Crangonidae,"(60,80]",83,10.32,2.89
Pacific cod,Polychaeta,"(60,80]",893,29.14,2.84
Walleye pollock,Appendicularia,"(0,20]",132,7.39,2.84
Pacific cod,Caridea,"(40,60]",970,18.1,2.79
Walleye pollock,Hyperiidea,"(20,40]",520,21.51,2.77
Pacific cod,Paguridae,"(60,80]",514,16.77,2.76
Arrowtooth flounder,Pleurogrammus monopterygius,"(80,280]",1,14.29,2.75
Pacific halibut,Teleostei unid,"(60,80]",457,17.87,2.72
Walleye pollock,Gadus chalcogrammus,"(40,60]",113,1.61,2.67
Pacific cod,Brachyura,"(40,60]",740,13.81,2.64
Arrowtooth flounder,Pleuronectiformes,"(60,80]",31,5.08,2.64
Pacific cod,Pleurogrammus monopterygius,"(60,80]",14,0.46,2.63
Arrowtooth flounder,Gadidae,"(40,60]",193,4.02,2.63
Pacific cod,Cyclopteridae,"(80,280]",3,1.6,2.63
Pacific cod,Hippolytidae,"(20,40]",186,10.25,2.62
Pacific cod,Stichaeidae,"(20,40]",50,2.76,2.61
Pacific halibut,Pleuronectiformes,"(80,280]",66,5.92,2.58
Walleye pollock,Appendicularia,"(20,40]",204,8.44,2.58
Pacific halibut,Ammodytidae,"(60,80]",148,5.79,2.54
Pacific cod,Gadidae,"(80,280]",5,2.66,2.51
Pacific cod,Caridea,"(20,40]",250,13.78,2.51
Arrowtooth flounder,Gadidae,"(20,40]",91,2,2.46
Pacific cod,Pleuronectiformes,"(60,80]",184,6,2.43
Walleye pollock,Cumacea,"(40,60]",155,2.21,2.42
Walleye pollock,Pandalidae,"(20,40]",174,7.2,8.81
Walleye pollock,Gammaridea,"(0,20]",106,5.94,2.4
Walleye pollock,Teleostei unid,"(0,20]",53,2.97,2.3
Arrowtooth flounder,Gadus macrocephalus,"(60,80]",10,1.64,2.28
Pacific halibut,Gadus macrocephalus,"(80,280]",18,1.61,2.26
Arrowtooth flounder,Gadidae,"(60,80]",34,5.57,2.25
Pacific halibut,Euphausiacea,"(20,40]",57,4.83,2.23
Walleye pollock,Mysidacea,"(60,80]",82,10.2,2.23
Walleye pollock,Cumacea,"(60,80]",19,2.36,2.21
Pacific halibut,Chionoecetes bairdi,"(20,40]",80,6.78,2.19
Pacific halibut,Cottidae,"(20,40]",66,5.59,2.18
Arrowtooth flounder,Crangonidae,"(0,20]",41,5.05,2.15
Pacific halibut,Gadus chalcogrammus,"(20,40]",13,1.1,2.11
Pacific cod,Osmeridae,"(60,80]",79,2.58,2.08
Pacific cod,Euphausiacea,"(60,80]",687,22.41,2.07
Pacific cod,Offal,"(40,60]",34,0.63,2.07
Pacific cod,Cottidae,"(40,60]",399,7.45,2.04
Pacific halibut,Gadidae,"(60,80]",77,3.01,2.04
Pacific cod,Teuthida,"(80,280]",4,2.13,2.01
Walleye pollock,Caridea,"(0,20]",105,5.88,2
Walleye pollock,Caridea,"(60,80]",105,13.06,1.99
Pacific halibut,Sebastes sp.,"(60,80]",27,1.06,1.99
Pacific halibut,Pleuronectiformes,"(60,80]",81,3.17,1.95
Pacific cod,Chionoecetes bairdi,"(80,280]",16,8.51,1.92
Walleye pollock,Teleostei unid,"(60,80]",85,10.57,1.91
Pacific cod,Cottidae,"(60,80]",196,6.39,1.86
Pacific cod,Salmonidae,"(80,280]",2,1.06,1.85
Walleye pollock,Mysidacea,"(0,20]",83,4.65,1.85
Pacific cod,Atheresthes stomias,"(60,80]",23,0.75,1.83
Pacific cod,Majidae,"(60,80]",235,7.67,1.83
Pacific cod,Anomura,"(60,80]",182,5.94,1.82
Arrowtooth flounder,Pandalidae,"(60,80]",40,6.56,0.22
Arrowtooth flounder,Teleostei unid,"(60,80]",115,18.85,1.73
Pacific halibut,Anomura,"(60,80]",90,3.52,1.72
Pacific cod,Stichaeidae,"(40,60]",244,4.55,1.71
Walleye pollock,Hyperiidea,"(0,20]",159,8.91,1.71
Pacific halibut,Cottidae,"(40,60]",120,4.96,1.7
Pacific halibut,Caridea,"(0,20]",12,13.64,1.69
Pacific cod,Octopoda,"(60,80]",331,10.8,1.68
Pacific halibut,Majidae,"(80,280]",122,10.94,1.68
Pacific cod,Cumacea,"(0,20]",37,9.95,1.68
Pacific halibut,Offal,"(40,60]",23,0.95,1.67
Pacific cod,Crangonidae,"(60,80]",791,25.81,1.65
Pacific cod,Hippolytidae,"(40,60]",876,16.35,1.62
Pacific cod,Octopoda,"(40,60]",402,7.5,1.6
Pacific cod,Appendicularia,"(0,20]",7,1.88,1.6
Walleye pollock,Gadus chalcogrammus,"(0,20]",9,0.5,1.58
Arrowtooth flounder,Atheresthes stomias,"(40,60]",29,0.6,1.56
Pacific cod,Gadus chalcogrammus,"(0,20]",2,0.54,1.55
Pacific cod,Annelida,"(20,40]",76,4.19,1.55
Pacific halibut,Octopoda,"(40,60]",57,2.35,1.55
Walleye pollock,Gadus chalcogrammus,"(20,40]",17,0.7,1.53
Walleye pollock,Brachyura,"(0,20]",83,4.65,1.53
Pacific halibut,Pleuronectiformes,"(20,40]",37,3.14,1.5
Pacific cod,Crustacea,"(0,20]",21,5.65,1.5
Pacific cod,Sebastes sp.,"(60,80]",36,1.17,1.5
Pacific halibut,Gadidae,"(80,280]",44,3.95,1.49
Pacific cod,Majidae,"(20,40]",91,5.02,1.49
Walleye pollock,Hyperiidea,"(40,60]",1794,25.56,1.48
Walleye pollock,Crangonidae,"(40,60]",377,5.37,1.46
Arrowtooth flounder,Lepidopsetta polyxystra,"(60,80]",5,0.82,1.46
Arrowtooth flounder,Offal,"(40,60]",25,0.52,1.45
Pacific cod,Teleostei unid,"(0,20]",15,4.03,1.45
Arrowtooth flounder,Pleurogrammus monopterygius,"(60,80]",7,1.15,1.45
Pacific halibut,Mysidacea,"(0,20]",4,4.55,1.45
Pacific cod,Cumacea,"(20,40]",65,3.58,1.44
Pacific halibut,Euphausiacea,"(0,20]",4,4.55,1.44
Pacific halibut,Bivalvia,"(0,20]",2,2.27,1.43
Pacific cod,Anoplopoma fimbria,"(80,280]",1,0.53,1.42
Pacific cod,Atheresthes stomias,"(80,280]",3,1.6,1.42
Walleye pollock,Crangonidae,"(20,40]",67,2.77,1.4
Walleye pollock,Anomura,"(20,40]",33,1.37,1.4
Arrowtooth flounder,Caridea,"(0,20]",40,4.93,1.4
Walleye pollock,Gammaridea,"(20,40]",195,8.07,1.38
Arrowtooth flounder,Stichaeidae,"(20,40]",90,1.97,1.36
Pacific halibut,Gadidae,"(40,60]",45,1.86,1.36
Pacific cod,Gammaridea,"(40,60]",1480,27.62,1.33
Walleye pollock,Mysidacea,"(20,40]",130,5.38,1.32
Pacific cod,Zoarcidae,"(40,60]",150,2.8,1.3
Arrowtooth flounder,Clupeoidei,"(60,80]",8,1.31,1.26
Pacific halibut,Polychaeta,"(0,20]",3,3.41,1.23
Pacific halibut,Pleuronectiformes,"(40,60]",75,3.1,1.23
Pacific cod,Anomura,"(0,20]",2,0.54,1.18
Pacific halibut,Hippolytidae,"(20,40]",59,5,1.17
Walleye pollock,Mysidacea,"(40,60]",554,7.89,1.16
Pacific cod,Gadidae,"(60,80]",52,1.7,1.16
Pacific halibut,Pleurogrammus monopterygius,"(80,280]",8,0.72,1.15
Walleye pollock,Chaetognatha,"(0,20]",88,4.93,1.13
Pacific cod,Gadus chalcogrammus,"(20,40]",14,0.77,1.13
Pacific cod,Annelida,"(40,60]",284,5.3,1.12
Pacific halibut,Gadus macrocephalus,"(60,80]",20,0.78,1.12
Pacific halibut,Teleostei unid,"(80,280]",145,13,1.09
Pacific halibut,Atheresthes stomias,"(60,80]",24,0.94,1.08
Pacific cod,Pleuronectiformes,"(40,60]",233,4.35,1.08
Arrowtooth flounder,Lepidopsetta sp.,"(60,80]",5,0.82,1.08
Pacific cod,Brachyura,"(60,80]",293,9.56,1.07
Arrowtooth flounder,Caridea,"(20,40]",308,6.75,1.07
Arrowtooth flounder,Hippoglossoides elassodon,"(60,80]",6,0.98,1.06
Walleye pollock,Ctenophora sp.,"(60,80]",16,1.99,1.05
Pacific cod,Stichaeidae,"(60,80]",141,4.6,1.04
Pacific cod,Pleuronectiformes,"(20,40]",46,2.54,1.03
Pacific cod,Teleostei unid,"(80,280]",33,17.55,1.03
Arrowtooth flounder,Gadidae,"(0,20]",8,0.99,1.02
Arrowtooth flounder,Cottidae,"(0,20]",5,0.62,1.02
Walleye pollock,Ammodytidae,"(60,80]",9,1.12,1.01
Walleye pollock,Myctophidae,"(60,80]",4,0.5,1.01
Pacific halibut,Brachyura,"(80,280]",59,5.29,1.01
Pacific cod,Caridea,"(60,80]",423,13.8,1
Arrowtooth flounder,Pandalidae,"(0,20]",40,4.93,4.59
Pacific halibut,Pandalidae,"(0,20]",3,3.41,0.96
Arrowtooth flounder,Atheresthes stomias,"(60,80]",4,0.66,0.97
Pacific halibut,Clupeoidei,"(80,280]",25,2.24,0.97
Arrowtooth flounder,Zoarcidae,"(40,60]",65,1.35,0.96
Pacific halibut,Pandalidae,"(40,60]",76,3.14,0.94
Pacific halibut,Pandalidae,"(20,40]",36,3.05,0.99
Walleye pollock,Crustacea,"(0,20]",83,4.65,0.93
Arrowtooth flounder,Zoarcidae,"(0,20]",4,0.49,0.93
Arrowtooth flounder,Teuthida,"(40,60]",63,1.31,0.92
Walleye pollock,Hippolytidae,"(20,40]",47,1.94,0.92
Pacific halibut,Osmeridae,"(80,280]",48,4.3,0.91
Pacific halibut,Euphausiacea,"(40,60]",86,3.55,0.91
Pacific halibut,Cyclopteridae,"(0,20]",1,1.14,0.9
Pacific halibut,Annelida,"(20,40]",21,1.78,0.9
Pacific cod,Chionoecetes sp.,"(20,40]",23,1.27,0.89
Pacific cod,Clupeoidei,"(60,80]",25,0.82,0.89
Arrowtooth flounder,Pleuronectiformes,"(40,60]",76,1.58,0.88
Pacific cod,Majidae,"(0,20]",5,1.34,0.87
Pacific cod,Zoarcidae,"(60,80]",108,3.52,0.86
Walleye pollock,Thecosomata,"(40,60]",316,4.5,0.86
Pacific halibut,Stichaeidae,"(20,40]",22,1.86,0.85
Pacific cod,Hippoglossoides elassodon,"(80,280]",1,0.53,0.85
Arrowtooth flounder,Salmonidae,"(40,60]",7,0.15,0.84
Pacific cod,Hippoglossoides elassodon,"(60,80]",32,1.04,0.84
Arrowtooth flounder,Zoarcidae,"(20,40]",29,0.64,0.84
Pacific halibut,Teuthida,"(60,80]",34,1.33,0.83
Pacific halibut,Bivalvia,"(20,40]",33,2.8,0.83
Pacific cod,Zoarcidae,"(20,40]",21,1.16,0.82
Walleye pollock,Cumacea,"(0,20]",44,2.46,0.81
Pacific halibut,Ammodytidae,"(0,20]",1,1.14,0.81
Arrowtooth flounder,Crangonidae,"(20,40]",241,5.29,0.81
Pacific cod,Octopoda,"(80,280]",6,3.19,0.8
Walleye pollock,Ammodytidae,"(40,60]",61,0.87,0.78
Pacific halibut,Chionoecetes sp.,"(40,60]",49,2.02,0.77
Walleye pollock,Clupeoidei,"(60,80]",1,0.12,0.76
Arrowtooth flounder,Atheresthes stomias,"(0,20]",4,0.49,0.75
Pacific cod,Chionoecetes bairdi,"(0,20]",4,1.08,0.75
Pacific halibut,Mollusca,"(20,40]",18,1.53,0.75
Pacific halibut,Chionoecetes sp.,"(60,80]",56,2.19,0.74
Walleye pollock,Crangonidae,"(0,20]",16,0.9,0.72
Walleye pollock,Thecosomata,"(0,20]",34,1.9,0.72
Pacific cod,Cottidae,"(0,20]",5,1.34,0.71
Arrowtooth flounder,Gadus macrocephalus,"(40,60]",10,0.21,0.71
Pacific cod,Mysidacea,"(0,20]",27,7.26,0.71
Pacific cod,Clupeoidei,"(40,60]",12,0.22,0.7
Pacific halibut,Salmonidae,"(60,80]",4,0.16,0.7
Pacific cod,Caprellidae,"(0,20]",14,3.76,0.7
Pacific cod,Gastropod,"(20,40]",49,2.7,0.69
Pacific halibut,Unid,"(60,80]",40,1.56,0.69
Pacific halibut,Offal,"(20,40]",4,0.34,0.69
Arrowtooth flounder,Sebastolobus sp.,"(60,80]",2,0.33,0.68
Walleye pollock,Teuthida,"(60,80]",14,1.74,0.67
Pacific halibut,Anomura,"(20,40]",8,0.68,0.66
Pacific cod,Chionoecetes sp.,"(60,80]",53,1.73,0.65
Walleye pollock,Gammaridea,"(40,60]",612,8.72,0.65
Walleye pollock,Hippolytidae,"(40,60]",159,2.26,0.64
Pacific cod,Chionoecetes sp.,"(40,60]",94,1.75,0.64
Pacific halibut,Polychaeta,"(20,40]",63,5.34,0.64
Arrowtooth flounder,Ammodytidae,"(60,80]",21,3.44,0.63
